IXI_ID,R_SFG_GMT,L_SFG_GMT,R_MFG_GMT,L_MFG_GMT,R_OplFG_GMT,L_OplFG_GMT,R_TrIFG_GMT,L_TrIFG_GMT,R_OrlFG_GMT,L_OrlFG_GMT,R_PrG_GMT,L_PrG_GMT,R_TFG_GMT,L_TFG_GMT,R_GRe_GMT,R_GRe_GMT,R_MOrG_GMT,L_MOrG_GMT,R_AOrG_GMT,L_AOrG_GMT,R_POrG_GMT,L_POrG_GMT,R_ParacentralLobule_GMT,L_ParacentralLobule_GMT,R_CgG_GMT,L_CgG_GMT,R_SCA_GMT,L_SCA_GMT,R_PoG_GMT,L_PoG_GMT,R_SMG_GMT,L_SMG_GMT,R_AnG_GMT,L_AnG_GMT,R_SPL_GMT,L_SPL_GMT,R_Pcu_GMT,L_Pcu_GMT,R_tmp_GMT,L_tmp_GMT,R_STG_GMT,L_STG_GMT,R_TTG_GMT,L_TTG_GMT,R_MTG_GMT,L_MTG_GMT,R_ITG_GMT,L_ITG_GMT,R_FuG_GMT,L_FuG_GMT,R_PHG_GMT,L_PHG_GMT,R_SOG_GMT,L_SOG_GMT,R_MOcG_GMT,L_MOcG_GMT,R_IOG_GMT,L_IOG_GMT,R_LiG_GMT,L_LiG_GMT,R_Cun_GMT,L_Cun_GMT,R_Ins_GMT,L_Ins_GMT,WMV,R_SFG_GMV,L_SFG_GMV,R_MFG_GMV,L_MFG_GMV,R_HiF_GMV,L_HiF_GMV
19,4.86792,4.832936,4.903035,4.737453,4.467582,4.318181,4.495886,4.480818,4.632943,4.751854,4.156614,3.74722,4.627438,4.404036,4.094519,3.837988,4.192215,3.710861,4.849052,5.186671,5.108403,5.091036,3.42759,2.98046,3.46283,3.775865,5.056041,5.40399,3.809862,4.133494,4.482637,4.519528,4.734901,4.715845,4.160718,3.793834,3.65492,3.70544,6.435844,5.452864,4.260208,4.12606,3.958651,3.862327,4.299632,4.420623,4.027211,4.861531,3.466178,4.025324,4.534796,3.801456,3.50898,4.015235,3.910919,4.197135,3.257385,2.858712,2.300683,2.293475,2.823682,2.691586,5.543785,4.861507,664212.309,32097.9382,31889.56292,15158.20243,17600.67712,3171.424612,3144.907043
169,3.347567,3.16288,3.10911,3.086169,3.120966,3.052844,3.17402,2.747275,3.153834,3.111243,2.447955,2.367194,3.117519,3.506981,2.86273,3.392993,2.751718,3.008147,3.59147,3.987988,3.583347,3.416202,2.416638,2.355951,2.37265,2.28441,1.953763,2.143058,2.076863,2.42113,2.409868,2.949231,2.582016,2.817358,2.339562,2.325463,2.341229,2.48936,3.806217,3.59748,2.574839,2.63229,2.459116,2.109492,2.732565,2.835902,2.627893,3.20202,2.775687,2.657113,3.537206,2.953784,1.896055,1.447177,2.271471,2.057676,2.086264,1.810899,1.479209,1.459344,1.536892,1.385603,3.678956,3.410656,542203.4625,28582.20958,27657.44147,13212.01308,15605.39951,2858.30651,2724.323137
231,3.011156,3.023863,2.937344,2.774591,2.881948,2.310379,2.618034,2.297076,2.915271,2.781471,2.542945,2.409311,3.205541,3.168411,3.733622,3.752373,3.920292,4.074888,3.388461,3.207924,3.475957,3.852007,2.721752,2.186899,2.930905,2.511041,2.995323,4.039178,2.368041,2.309852,2.983087,2.803977,2.901786,2.191555,2.630586,2.260367,2.872933,2.419284,4.088964,4.377785,2.802905,2.44157,2.919423,2.398378,3.097118,2.347051,3.578937,3.180848,3.711964,2.985033,3.64062,3.244572,1.871343,1.997552,2.441503,1.484102,2.383596,1.856832,2.099924,1.863112,1.824,1.460581,3.408,2.769403,505037.9176,25553.9056,27335.49516,10517.10762,12770.21166,2943.180431,2831.563493
61,3.115674,2.973254,2.775199,2.762919,2.830439,2.737249,2.738511,2.606136,3.160771,3.083299,2.332199,2.172561,3.078957,3.402158,2.538406,2.633087,2.160962,2.162683,3.121529,3.151637,3.040628,3.053612,2.105025,2.17098,2.377299,2.36468,3.558001,2.962244,1.984768,2.23215,2.58835,2.577888,2.621539,2.736786,2.378473,2.37857,2.326073,2.373554,3.502106,3.49622,2.859175,2.728532,2.522385,2.177049,2.851784,2.893127,2.554632,2.63918,2.412155,2.819242,3.22947,3.058828,1.993113,2.232838,2.372788,2.587195,2.137585,2.29806,2.017751,2.192029,2.000575,2.116326,3.337125,3.087595,536688.0926,22887.60842,26435.64907,11929.09487,13669.18147,2805.74601,2118.316738
212,3.90977,3.773542,3.683591,4.026867,2.779095,2.79255,3.40919,3.146592,3.02775,3.118467,4.522586,4.0112,3.103782,3.568761,2.176399,1.23442,2.473486,1.838083,2.897151,2.915735,2.900412,3.348469,3.040563,3.287784,2.433954,2.367893,1.811408,2.601956,4.114497,3.587013,3.990565,3.49356,3.142626,2.819801,2.637892,2.25874,2.166096,2.283529,2.960749,2.617787,3.328042,2.960634,2.821974,2.219735,2.904488,2.989293,2.889711,2.485857,2.585971,2.435659,2.472379,2.593949,2.050511,1.875855,2.429611,2.086569,1.94346,1.545939,1.657286,1.503535,1.423149,1.36156,2.907716,2.722977,476792.3769,26467.67794,28095.63488,10075.71121,10221.31769,2587.535917,2324.483965
312,3.261891,3.097996,3.099692,2.983814,2.775086,3.121076,2.768405,3.097043,2.899247,3.121322,2.511124,2.429498,3.400496,3.145023,3.125762,2.867933,3.138403,2.750281,3.405038,3.506009,3.172763,3.290665,1.986165,1.958171,2.353661,2.382035,4.794627,4.075672,2.110157,2.376213,2.818073,2.822223,2.979884,2.984648,2.51046,2.667978,2.228566,2.186361,3.83449,4.122453,3.15566,2.795872,2.604097,2.05937,3.445553,3.025401,3.255482,3.045108,3.110279,3.23941,3.103518,3.471706,2.325306,3.629588,2.714113,3.24016,2.805144,3.880152,2.19867,2.595136,2.020635,2.330687,3.698749,3.544476,461500.0981,23135.61565,23954.30733,11269.45531,12563.90027,2654.638461,2354.697928
29,4.714611,4.710472,4.275699,4.177864,4.066381,4.243537,4.036714,3.964315,4.192765,4.453173,3.230917,3.129186,6.469694,5.142254,4.331635,4.66441,3.304491,3.315615,5.682106,5.577628,4.684883,5.735507,2.921868,2.732011,3.814699,3.984137,3.597249,3.597727,3.00766,3.357581,4.078367,3.986177,4.076817,4.056261,3.484306,3.556429,3.477268,3.649676,6.828439,5.706639,3.981699,4.048884,4.376694,3.772616,4.038089,4.019927,4.361256,4.191686,4.532163,4.340368,4.418655,4.628352,3.413621,2.965572,3.3236,3.360036,3.840443,3.428406,2.928556,3.248305,2.964184,2.884887,5.732042,5.169928,468369.0529,24941.02913,26012.33378,10262.82692,12721.56882,2551.711577,2125.193952
156,2.843185,2.816274,2.827668,2.77973,2.942734,2.890379,2.850755,2.789706,2.632501,2.653949,2.265002,2.227155,2.901865,3.293376,2.531187,2.17754,2.899828,2.404469,2.802116,2.911272,3.340162,3.183434,2.155827,2.017466,2.191005,2.329712,1.479604,2.595163,2.115765,2.346655,2.670049,2.618147,2.88369,2.804213,2.333653,2.521511,2.057768,2.176837,3.698376,3.500973,2.797825,2.7524,2.291103,1.990087,2.965944,2.849487,2.971705,3.105518,2.904811,2.951111,3.179466,3.3483,2.318582,2.957343,2.66974,2.71599,2.370929,2.559508,1.942331,1.980658,1.621605,1.848554,3.022515,2.999654,587865.6832,24976.56456,26276.32292,12107.20567,14226.40455,2770.708812,2845.827306
319,2.788201,2.789799,2.85979,2.827605,2.785887,2.674688,2.804049,2.656706,2.955886,2.490222,2.006232,1.969429,3.181511,3.065789,2.322631,2.244095,2.527166,1.970765,3.280179,3.228125,3.064735,3.239453,1.763673,1.677108,2.340349,2.203293,2.155596,1.695192,1.950505,2.06499,2.555632,2.547151,2.642162,2.327747,2.263122,2.131457,2.137991,2.198471,3.596393,3.637004,2.63163,2.526533,2.086801,1.993489,2.801155,2.674749,2.779774,2.742452,2.433618,2.363631,2.730072,2.871283,1.720809,1.577249,2.599477,1.934087,1.79919,1.902666,1.478417,1.519383,1.446116,1.454073,3.410685,3.216663,579092.0539,25860.62551,28019.43793,13965.38852,14255.13814,2754.520625,2484.931424
622,2.929541,2.808579,2.833982,2.706725,2.846638,2.809783,2.702535,2.651656,2.73682,2.749696,2.648769,2.540497,3.234129,3.148179,2.253872,2.208661,2.542338,2.090685,2.997163,3.346604,3.132569,3.10725,2.417048,2.351068,2.51762,2.497243,1.995682,2.221284,2.356346,2.42261,2.702466,2.799239,2.686257,2.834893,2.405303,2.550451,2.43464,2.36204,3.60383,3.938971,2.822912,2.8194,2.181944,2.017676,3.0068,2.706383,2.966464,2.988436,2.611469,2.619899,2.998556,3.119783,2.754911,3.305559,2.684263,2.796007,2.422797,2.593787,1.635736,1.61229,1.915515,1.907113,3.041647,3.104458,641003.8921,30395.97659,31781.35128,14848.21865,15811.88006,2762.256053,2600.308909
